wave(air/A)  wave(vac/A)  f1     f2
  7686.627    7688.743    8-3   P1e(11.5)
  7687.878    7689.994    8-3   P1f(11.5)
  7691.813    7693.930    4-0    P2f(5.5)
  7692.009    7694.126    4-0    P2e(5.5)
  7699.461    7701.580    4-0    P1e(6.5)
  7699.947    7702.066    4-0    P1f(6.5)
  7712.206    7714.329    9-4    R1f(3.5)
  7712.209    7714.332    9-4    R1e(3.5)
  7712.605    7714.728    9-4    R1f(2.5)
  7712.626    7714.749    9-4    R1e(2.5)
  7715.011    7717.134    9-4    R2e(2.5)
  7715.086    7717.209    9-4    R2f(2.5)
  7715.824    7717.948    9-4    R1e(4.5)
  7715.859    7717.983    9-4    R1f(4.5)
  7716.874    7718.998    9-4    R2e(3.5)
  7716.892    7719.016    9-4    R1f(1.5)
  7716.915    7719.039    9-4    R1e(1.5)
  7716.964    7719.088    9-4    R2f(3.5)
  7718.028    7720.152    9-4    R2e(1.5)
  7718.072    7720.196    9-4    R2f(1.5)
  7723.525    7725.651    9-4    R2e(4.5)
  7723.611    7725.737    9-4    R2f(4.5)
  7723.625    7725.751    9-4    R1e(5.5)
  7723.715    7725.841    9-4    R1f(5.5)
  7726.040    7728.166    9-4    R2e(0.5)
  7726.041    7728.167    9-4    R2f(0.5)
  7733.773    7735.901    4-0    P2f(6.5)
  7734.063    7736.192    4-0    P2e(6.5)
  7734.913    7737.042    9-4    R2e(5.5)
  7734.978    7737.107    9-4    R2f(5.5)
  7735.747    7737.876    9-4    R1e(6.5)
  7735.910    7738.039    9-4    R1f(6.5)
  7749.364    7751.497    9-4    Q2f(0.5)
  7749.486    7751.619    9-4    Q2e(0.5)
  7750.622    7752.755    9-4    Q1f(1.5)
  7750.658    7752.791    9-4    Q1e(1.5)
  7756.756    7758.891    9-4    Q2f(1.5)
  7756.964    7759.099    9-4    Q2e(1.5)
  7759.929    7762.065    9-4    Q1f(2.5)
  7760.063    7762.199    9-4    Q1e(2.5)
  7773.216    7775.355    9-4    Q1f(3.5)
  7773.525    7775.664    9-4    Q1e(3.5)
  7780.388    7782.529    9-4    P2e(1.5)
  7780.475    7782.616    9-4    P2f(1.5)
  7790.654    7792.798    9-4    Q1f(4.5)
  7791.218    7793.362    9-4    Q1e(4.5)
  7794.074    7796.219    9-4    P1e(2.5)
  7794.149    7796.294    9-4    P1f(2.5)
  7808.433    7810.582    9-4    P2e(2.5)
