lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
3977.8528,3978.978,0.2861,0.2075
3978.1108,3979.236,0.118,0.2714
3980.3809,3981.507,0.0804,0.3034
3980.7285,3981.854,0.0674,0.259
3981.0088,3982.135,0.126,0.2952
3981.4341,3982.56,0.1128,0.2664
3983.9578,3985.085,0.0965,0.2266
3984.2803,3985.407,0.0672,0.1885
3984.5964,3985.723,0.1026,0.3363
3988.2124,3989.34,0.0876,0.2535
3988.2939,3989.422,0.0735,0.1955
3988.5488,3989.677,0.1071,0.1887
3988.8848,3990.013,0.1275,0.2609
3989.8164,3990.945,0.0657,0.2075
3993.1892,3994.318,0.1584,0.1938
3993.5129,3994.642,0.1789,0.1799
3993.8691,3994.998,0.1261,0.2348
3999.0938,4000.225,0.108,0.2483
3999.5444,4000.675,0.1884,0.264
4007.5122,4008.645,0.0722,0.3405
4007.7639,4008.897,0.1127,0.3331
4008.1887,4009.322,0.0984,0.3023
4008.7959,4009.929,0.1115,0.2761
4009.3809,4010.514,0.3401,0.2231
4009.5396,4010.673,0.1237,0.3206
4010.438,4011.572,0.2295,0.2456
4011.4348,4012.569,0.1063,0.2865
4011.6072,4012.741,0.086,0.2632
4012.6267,4013.761,0.0868,0.2808
4012.9031,4014.037,0.0765,0.2643
4014.0237,4015.158,0.1202,0.3385
4014.3364,4015.471,0.1368,0.2581
4015.5737,4016.709,0.0863,0.297
4015.9971,4017.132,0.1094,0.2631
4016.5945,4017.73,0.1079,0.223
4017.3018,4018.437,0.0907,0.2691
4017.8035,4018.939,0.074,0.2177
4019.2097,4020.346,0.0732,0.3182
4019.801,4020.937,0.1183,0.251
4020.2322,4021.368,0.0564,0.1706
4020.5059,4021.642,0.1021,0.1948
4021.3015,4022.438,0.1042,0.2864
4021.9668,4023.104,0.0791,0.2176
4023.5413,4024.678,0.0883,0.274
4024.311,4025.448,0.0905,0.214
4024.5024,4025.64,0.0828,0.2061
4024.8259,4025.963,0.0714,0.1947
4025.9839,4027.122,0.0812,0.2548
4026.8291,4027.967,0.0613,0.2689
4028.5884,4029.727,0.1308,0.2576
4028.8652,4030.004,0.0718,0.2252
4029.0635,4030.202,0.0228,0.1782
4029.73,4030.869,0.0993,0.2134
4031.3845,4032.524,0.0779,0.1884
4032.6445,4033.784,0.0641,0.2429
4043.1538,4044.296,0.0727,0.2381
