lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  9552.5469    9555.1670  0.2509   15.5670
  9560.1768    9562.7990  0.3269    0.6319
  9560.4268    9563.0490  0.2511    0.7114
  9567.1133    9569.7380  0.2338   18.2210
  9567.6113    9570.2360  0.2316   17.4108
  9569.2051    9571.8300  0.2296    0.3142
  9571.8545    9574.4800  0.2657    0.2205
  9572.3174    9574.9430  0.2203    0.4038
  9575.9727    9578.5990  0.2177    0.2563
  9591.7227    9594.3540  0.2660    0.4627
  9592.0869    9594.7180  0.2390    0.4361
  9607.7021    9610.3370  0.3677    6.6388
  9615.2031    9617.8400  0.2539    0.4125
  9620.6641    9623.3030  0.2342    8.9747
  9621.3369    9623.9760  0.2403    5.7744
  9622.3135    9624.9530  0.2094    0.6444
  9623.8555    9626.4950  0.2425    0.4522
  9627.4580    9630.0990  0.2315    0.8572
  9629.8350    9632.4760  0.2300    0.6212
  9631.1914    9633.8330  0.2541    0.2284
  9631.5908    9634.2330  0.3293    0.2711
  9633.8740    9636.5160  0.1565    0.1888
  9635.9170    9638.5600  0.2514    0.1406
  9651.5771    9654.2240  0.3849    0.3232
  9653.2754    9655.9230  0.4185    0.4281
  9653.8643    9656.5120  0.2560    0.3016
  9654.6416    9657.2900  0.3456    0.2411
  9655.6055    9658.2540  0.3990    0.2707
  9657.8525    9660.5010  0.3798    0.5127
  9659.0889    9661.7380  0.3761    0.9104
  9660.3398    9662.9890  0.3637    0.4396
  9662.6396    9665.2900  0.4786    1.0693
  9668.7051    9671.3570  0.3442    4.9271
  9669.7578    9672.4100  0.2567    1.0284
  9670.9404    9673.5930  0.2649    0.5753
  9674.2432    9676.8960  0.2985    1.6369
  9678.0938    9680.7480  0.2199    0.1691
  9678.5479    9681.2020  0.1994    0.1786
  9679.9746    9682.6290  0.2363    5.0576
  9680.8311    9683.4860  0.2366    4.6384
  9682.2480    9684.9030  0.3540    7.4141
  9685.7217    9688.3780  0.3660    0.4212
  9690.5107    9693.1680  0.2634    4.4186
  9693.1904    9695.8490  0.2288    0.3763
  9697.2148    9699.8740  0.1867    0.2298
  9697.9014    9700.5610  0.2521    0.4031
  9699.3428    9702.0030  0.3049   17.8120
